From,To,R,X
0,18,0.0171228857031733,0.0145027585235101
18,19,0.0001,0.007575205336756
19,16,0.0273919994701606,0.0021106605507248
16,15,0.0280311973518334,0.0005999135512886
15,14,0.0270667602334402,0.0001
14,13,0.0275229960098631,0.0067487047082201
13,1,0.0649028813132115,0.0001
16,2,0.0001,0.0001
15,3,0.0250757246268373,0.3605692690334657
19,4,0.0006028000933526,0.0001
15,5,0.0001,0.0399555691160859
15,6,0.0001,0.1744923888837045
15,7,0.0225656331828035,0.0275953522908759
18,17,0.0516621055421428,0.0001
17,8,0.0784248017866736,0.0001
17,9,0.0007601207425564,0.0001
14,10,0.0168531712537694,0.0405351513638534
17,11,0.0001,0.0014732472428275
13,12,0.0114697894148233,0.1074091636133836
0,34,0.0177702217152416,0.025601430901083
34,33,0.0085165824096993,0.0001
33,29,0.0476588906524192,0.0084660695040993
29,20,0.0020454324565415,0.0001
29,32,0.0290342413101286,0.0001
32,31,0.0001,0.0784468178159566
31,30,0.0001,0.0001
30,21,0.0503430476911844,0.0001
30,22,0.0646530786647948,0.0001
34,35,0.0001,0.0126902346465041
35,23,0.0389313569258345,0.0001
35,24,0.0419540967096562,0.0439156229538938
33,25,0.0001,0.0001
31,26,0.0525280043234174,0.0849657205941767
32,27,0.0001,0.0001
33,28,0.0145470388265467,0.0504671461757281
0,47,0.0001,0.0001
47,48,0.0057293026819561,0.0342351797285585
48,36,0.0326834746784322,0.0057293026819561
48,44,0.0477988412135851,0.0001
44,37,0.0227746992666712,0.0001
44,43,0.0151412280302002,0.0001
43,38,0.2087289548078054,0.0073829248099692
47,46,0.0446108157194907,0.0352909379398325
46,45,0.0001,0.0001
45,39,0.2422844065058503,0.0001
46,40,0.0590248456865551,0.0001
45,41,0.0121568648385947,0.0001
43,42,0.193197112605516,0.1667069521782264
